osm_feature_id,osm_type,osm_id,name,operator,brand,latitude,longitude,source,valid_coordinates
node/259796143,node,259796143,Extrafarma,,Extrafarma,-1.0547193,-46.7670854,OpenStreetMap amenity=pharmacy,True
node/259796144,node,259796144,Big Ben,,,-1.0552919,-46.7669298,OpenStreetMap amenity=pharmacy,True
node/259796145,node,259796145,,,,-1.0572235,-46.763937,OpenStreetMap amenity=pharmacy,True
node/259796146,node,259796146,Farmácia Juliana,,,-1.0503921,-46.7680055,OpenStreetMap amenity=pharmacy,True
node/262477095,node,262477095,Erika Farma,,,-1.0540347,-46.7625896,OpenStreetMap amenity=pharmacy,True
node/270357431,node,270357431,Farmácia Jardim Botânico,,,-25.4387527,-49.2377298,OpenStreetMap amenity=pharmacy,True
node/311868302,node,311868302,Farmácia Popular,,,-1.0504987,-46.7683114,OpenStreetMap amenity=pharmacy,True
node/315970852,node,315970852,Drogaria Cinthia,,,-19.9318597,-44.0831458,OpenStreetMap amenity=pharmacy,True
node/315989092,node,315989092,,,,-19.8678754,-43.9652623,OpenStreetMap amenity=pharmacy,True
node/318117878,node,318117878,Santa Mônica,,,-20.6709476,-40.49867,OpenStreetMap amenity=pharmacy,True
node/319258498,node,319258498,Araújo,,,-19.9388039,-43.9202123,OpenStreetMap amenity=pharmacy,True
node/320218297,node,320218297,,,,-19.9568966,-44.0638661,OpenStreetMap amenity=pharmacy,True
node/321274331,node,321274331,Drograria Araújo,,,-19.9687556,-43.9540564,OpenStreetMap amenity=pharmacy,True
node/322536511,node,322536511,Drogaria Serras Azuis,,,-19.3361466,-43.629113,OpenStreetMap amenity=pharmacy,True
node/324384209,node,324384209,Araújo,,,-19.9351301,-43.9288871,OpenStreetMap amenity=pharmacy,True
node/332153100,node,332153100,Drogaria Venâncio,,,-22.9311959,-43.1783233,OpenStreetMap amenity=pharmacy,True
node/332516627,node,332516627,Pacheco,,Pacheco,-22.929342,-43.1775384,OpenStreetMap amenity=pharmacy,True
node/338513865,node,338513865,Drogaria Moderna,,,-22.9027679,-43.1112016,OpenStreetMap amenity=pharmacy,True
node/338835626,node,338835626,,,,-19.9392123,-43.9200138,OpenStreetMap amenity=pharmacy,True
node/340473535,node,340473535,Drogaria Riofarma,,,-22.9263853,-43.1767601,OpenStreetMap amenity=pharmacy,True
node/344024295,node,344024295,,,,-22.9572718,-43.1991,OpenStreetMap amenity=pharmacy,True
node/345947047,node,345947047,Cristal,,,-22.9367668,-43.1900586,OpenStreetMap amenity=pharmacy,True
node/346243972,node,346243972,Droga Raia,,Droga Raia,-22.9335801,-43.1857341,OpenStreetMap amenity=pharmacy,True
node/346245038,node,346245038,Venâncio,,Itaú Unibanco,-22.9334589,-43.1852616,OpenStreetMap amenity=pharmacy,True
node/351699739,node,351699739,Delufarma,,,-19.8306026,-40.3677258,OpenStreetMap amenity=pharmacy,True
node/357661389,node,357661389,Araújo,,,-19.9426767,-43.9219772,OpenStreetMap amenity=pharmacy,True
node/365760907,node,365760907,,,,-20.677457,-40.5045346,OpenStreetMap amenity=pharmacy,True
node/369876451,node,369876451,,,,-20.3769515,-43.4155267,OpenStreetMap amenity=pharmacy,True
node/408932164,node,408932164,Drogasil,,Drogasil,-23.5281086,-46.7248374,OpenStreetMap amenity=pharmacy,True
node/412310727,node,412310727,Farmácia Central Posto 6,,,-22.986884,-43.1913207,OpenStreetMap amenity=pharmacy,True
node/415833897,node,415833897,Farmácia Iate Club,,,-22.9509245,-43.1760709,OpenStreetMap amenity=pharmacy,True
node/416166010,node,416166010,Farma Nature,,,-22.9515447,-43.1830913,OpenStreetMap amenity=pharmacy,True
node/416166011,node,416166011,Pague Menos,,Pague Menos,-22.9510624,-43.182912,OpenStreetMap amenity=pharmacy,True
node/430992436,node,430992436,Drogaria Moderna,,,-22.8942073,-43.1210009,OpenStreetMap amenity=pharmacy,True
node/430992442,node,430992442,Drogaria Moderna,,,-22.8941818,-43.1213621,OpenStreetMap amenity=pharmacy,True
node/431013536,node,431013536,Pacheco,,Pacheco,-22.9313614,-43.1788501,OpenStreetMap amenity=pharmacy,True
node/431013629,node,431013629,Miliflora Farmácia de Manipulação,,,-22.9240065,-43.1782625,OpenStreetMap amenity=pharmacy,True
node/431750130,node,431750130,,,,-22.922358,-43.1772917,OpenStreetMap amenity=pharmacy,True
node/435264985,node,435264985,Droga Raia,Droga Raia,Droga Raia,-23.4948185,-46.8492533,OpenStreetMap amenity=pharmacy,True
node/435905680,node,435905680,Farma Life,,,-23.4934489,-46.8492619,OpenStreetMap amenity=pharmacy,True
node/435905692,node,435905692,Droga Rani,,,-23.4956214,-46.8489958,OpenStreetMap amenity=pharmacy,True
node/438033661,node,438033661,Drogaria Progresso,,,-29.6869301,-51.460185,OpenStreetMap amenity=pharmacy,True
node/438033666,node,438033666,Panvel,,Panvel,-29.6838552,-51.4619773,OpenStreetMap amenity=pharmacy,True
node/442752778,node,442752778,Panvel,,Panvel,-30.0287749,-51.2087253,OpenStreetMap amenity=pharmacy,True
node/443704932,node,443704932,,,,-19.827235,-40.2772153,OpenStreetMap amenity=pharmacy,True
node/444963390,node,444963390,Farma & Cia,,,-23.5434916,-46.5615758,OpenStreetMap amenity=pharmacy,True
node/448777828,node,448777828,Homeopatia Estelar - Manipulação,,,-22.9034171,-43.1085133,OpenStreetMap amenity=pharmacy,True
node/448786368,node,448786368,Drogaria Raia,,,-22.9020736,-43.1032543,OpenStreetMap amenity=pharmacy,True
node/450707553,node,450707553,Drogarias Max,,,-22.9131075,-43.1826357,OpenStreetMap amenity=pharmacy,True
node/452657786,node,452657786,Rio Farma,,,-22.928073,-43.1771193,OpenStreetMap amenity=pharmacy,True
node/452657957,node,452657957,Farmácia Popular,,,-22.8220967,-43.2299007,OpenStreetMap amenity=pharmacy,True
node/452659190,node,452659190,Droga Raia,Raia,Droga Raia,-22.8058819,-43.2093661,OpenStreetMap amenity=pharmacy,True
node/452816937,node,452816937,,,,-30.8534812,-51.8069787,OpenStreetMap amenity=pharmacy,True
node/452816940,node,452816940,Panvel,Panvel,Panvel,-30.8511232,-51.8146721,OpenStreetMap amenity=pharmacy,True
node/456043041,node,456043041,,,,-23.5234135,-46.7365315,OpenStreetMap amenity=pharmacy,True
node/456173512,node,456173512,Bem Estar,,,-22.9193894,-43.1771462,OpenStreetMap amenity=pharmacy,True
node/456322669,node,456322669,Droga Raia,,Droga Raia,-19.9331331,-43.9568003,OpenStreetMap amenity=pharmacy,True
node/456322674,node,456322674,Drogaria Araújo,,,-19.9362522,-43.9593672,OpenStreetMap amenity=pharmacy,True
node/460149340,node,460149340,Poupa Farma,,,-23.9675923,-46.3332133,OpenStreetMap amenity=pharmacy,True
node/460206314,node,460206314,,,,-19.89086,-43.9680645,OpenStreetMap amenity=pharmacy,True
node/461425133,node,461425133,Droga Norte,,,-19.9147443,-44.081831,OpenStreetMap amenity=pharmacy,True
node/479158318,node,479158318,Farmácia Vilgna,,,-3.7655048,-38.6380756,OpenStreetMap amenity=pharmacy,True
node/479233880,node,479233880,Pague Menos,,Pague Menos,-3.7392969,-38.5479362,OpenStreetMap amenity=pharmacy,True
node/482168663,node,482168663,Extrafarma,,Extrafarma,-3.7311626,-38.5145948,OpenStreetMap amenity=pharmacy,True
node/482168667,node,482168667,Pague Menos,,Pague Menos,-3.7318221,-38.5125263,OpenStreetMap amenity=pharmacy,True
node/491895211,node,491895211,Drogaria São Paulo,,,-23.6524688,-46.7341461,OpenStreetMap amenity=pharmacy,True
node/492360924,node,492360924,,,,-22.9049579,-43.1779071,OpenStreetMap amenity=pharmacy,True
node/492902316,node,492902316,Drogaria Nova São Luiz,,,-23.6576603,-46.7363042,OpenStreetMap amenity=pharmacy,True
node/494016547,node,494016547,,,,-22.8303921,-43.2907705,OpenStreetMap amenity=pharmacy,True
node/494016632,node,494016632,,,,-22.8294982,-43.288187,OpenStreetMap amenity=pharmacy,True
node/495141003,node,495141003,Mega Expressa,,,-22.947426,-43.3606704,OpenStreetMap amenity=pharmacy,True
node/495185778,node,495185778,Farmácia Jericó,,,-22.9481927,-43.3678373,OpenStreetMap amenity=pharmacy,True
node/498578560,node,498578560,Rosário,,,-22.0116145,-47.8974694,OpenStreetMap amenity=pharmacy,True
node/499609661,node,499609661,,,,-22.0105795,-47.889978,OpenStreetMap amenity=pharmacy,True
node/501152488,node,501152488,,,,-5.8402708,-35.209662,OpenStreetMap amenity=pharmacy,True
node/501253480,node,501253480,Drogaria Globo,,Drogaria Globo,-5.8660928,-35.1857205,OpenStreetMap amenity=pharmacy,True
node/501619253,node,501619253,,,,-5.821732,-35.2138277,OpenStreetMap amenity=pharmacy,True
node/502196316,node,502196316,Farmácia San Vale,,,-5.8666888,-35.2246378,OpenStreetMap amenity=pharmacy,True
node/503126850,node,503126850,,,,-5.8568028,-35.2362163,OpenStreetMap amenity=pharmacy,True
node/504709867,node,504709867,Araújo,,,-19.9490255,-43.9204779,OpenStreetMap amenity=pharmacy,True
node/504801602,node,504801602,,,,-5.8192143,-35.2077473,OpenStreetMap amenity=pharmacy,True
node/505204983,node,505204983,Pague Menos,,Pague Menos,-1.4479866,-48.4867199,OpenStreetMap amenity=pharmacy,True
node/505204984,node,505204984,Farmalíder,,,-1.4478228,-48.4877322,OpenStreetMap amenity=pharmacy,True
node/505204992,node,505204992,Extrafarma,,Extrafarma,-1.4440528,-48.4901893,OpenStreetMap amenity=pharmacy,True
node/505204994,node,505204994,Drogaria Maxi Popular,,,-1.4458999,-48.4875599,OpenStreetMap amenity=pharmacy,True
node/505204995,node,505204995,Drogasil,,Drogasil,-1.4457914,-48.488008,OpenStreetMap amenity=pharmacy,True
node/505535329,node,505535329,Droga Nova,,,-19.9394233,-43.9417189,OpenStreetMap amenity=pharmacy,True
node/506569651,node,506569651,,,,-5.8221861,-35.2302826,OpenStreetMap amenity=pharmacy,True
node/506716307,node,506716307,,,,-29.1678232,-51.5213218,OpenStreetMap amenity=pharmacy,True
node/506716335,node,506716335,Mina,,,-29.168355,-51.521726,OpenStreetMap amenity=pharmacy,True
node/506716765,node,506716765,São João,,São João,-29.1718267,-51.5208289,OpenStreetMap amenity=pharmacy,True
node/511969611,node,511969611,,,,-14.177361,-47.8155895,OpenStreetMap amenity=pharmacy,True
node/527166894,node,527166894,Pacheco,,,-22.9495493,-43.1850404,OpenStreetMap amenity=pharmacy,True
node/530288403,node,530288403,Itaúnas Medicamentos,,,-18.4186134,-39.7074437,OpenStreetMap amenity=pharmacy,True
node/530638958,node,530638958,Drogabarra,,,-18.59204,-39.7314733,OpenStreetMap amenity=pharmacy,True
node/532563270,node,532563270,Farma Util,,,-25.5426449,-54.5865199,OpenStreetMap amenity=pharmacy,True
node/550387511,node,550387511,,,,-15.5770399,-56.0718666,OpenStreetMap amenity=pharmacy,True
node/556703805,node,556703805,RIC,,,-22.9361745,-43.190617,OpenStreetMap amenity=pharmacy,True
node/557557788,node,557557788,Pacheco,,Pacheco,-22.9837038,-43.2197517,OpenStreetMap amenity=pharmacy,True
node/560397916,node,560397916,,,,-8.0624473,-34.8964475,OpenStreetMap amenity=pharmacy,True
node/564238255,node,564238255,Araújo,,,-19.9354812,-43.9315643,OpenStreetMap amenity=pharmacy,True
node/566435510,node,566435510,Pague Menos,,Pague Menos,-13.006095,-38.5270823,OpenStreetMap amenity=pharmacy,True
node/567544107,node,567544107,Dermage Farmácia de Manipulação,,,-22.9048784,-43.1773782,OpenStreetMap amenity=pharmacy,True
node/570371144,node,570371144,Drogarias Farmania,,,-22.9062224,-43.1769984,OpenStreetMap amenity=pharmacy,True
node/570371371,node,570371371,Pacheco,,Pacheco,-22.9057646,-43.1764133,OpenStreetMap amenity=pharmacy,True
node/570371488,node,570371488,Farmalife,,,-22.9049451,-43.17544,OpenStreetMap amenity=pharmacy,True
node/570371573,node,570371573,São Paulo,,,-22.9048809,-43.1753274,OpenStreetMap amenity=pharmacy,True
node/571268304,node,571268304,DrogaLife,,,-22.8995093,-43.208757,OpenStreetMap amenity=pharmacy,True
node/571728169,node,571728169,Pague Menos,,Pague Menos,-3.7498967,-38.4906255,OpenStreetMap amenity=pharmacy,True
node/571728171,node,571728171,Pague Menos,,Pague Menos,-3.743632,-38.4951641,OpenStreetMap amenity=pharmacy,True
node/572685094,node,572685094,,,,-5.8084811,-35.2090845,OpenStreetMap amenity=pharmacy,True
node/598678128,node,598678128,,,,-23.5528451,-46.6430063,OpenStreetMap amenity=pharmacy,True
node/598724534,node,598724534,Agafarma,,,-30.0396772,-51.12465,OpenStreetMap amenity=pharmacy,True
node/598724543,node,598724543,FarMais,,,-30.0399572,-51.1258896,OpenStreetMap amenity=pharmacy,True
node/598724556,node,598724556,CompreBem,,,-30.040066,-51.1263298,OpenStreetMap amenity=pharmacy,True
node/598914601,node,598914601,,,,-5.8196909,-35.2245792,OpenStreetMap amenity=pharmacy,True
node/598914604,node,598914604,,,,-5.8147349,-35.2118818,OpenStreetMap amenity=pharmacy,True
node/599810322,node,599810322,Drogaria Messias,,,-15.7967444,-48.1211847,OpenStreetMap amenity=pharmacy,True
node/599971645,node,599971645,Drogaria Globo,,Drogaria Globo,-5.8452877,-35.2103284,OpenStreetMap amenity=pharmacy,True
node/599971666,node,599971666,,,,-5.8584057,-35.1964511,OpenStreetMap amenity=pharmacy,True
node/603015490,node,603015490,Mais Popular,,,-25.42207,-49.2915988,OpenStreetMap amenity=pharmacy,True
node/603015496,node,603015496,Callfarma,,,-25.4223268,-49.2912716,OpenStreetMap amenity=pharmacy,True
node/606189116,node,606189116,Panvel,,Panvel,-30.0447715,-51.1975225,OpenStreetMap amenity=pharmacy,True
node/606189341,node,606189341,Panvel,,Panvel,-30.0437287,-51.2022464,OpenStreetMap amenity=pharmacy,True
node/612549183,node,612549183,,,,-13.007235,-38.4613017,OpenStreetMap amenity=pharmacy,True
node/612557499,node,612557499,Farmácias Santa Clara,,,-12.6437722,-38.0929428,OpenStreetMap amenity=pharmacy,True
node/612558194,node,612558194,,,,-12.6427413,-38.0887328,OpenStreetMap amenity=pharmacy,True
node/612560919,node,612560919,Farmatend,,,-12.6497604,-38.0710787,OpenStreetMap amenity=pharmacy,True
node/612570303,node,612570303,Ida Linnah,,,-13.0093037,-38.5293746,OpenStreetMap amenity=pharmacy,True
node/613552514,node,613552514,Farmais,,,-25.4888781,-49.3039682,OpenStreetMap amenity=pharmacy,True
node/613552522,node,613552522,FarMais,,,-25.4956958,-49.3163064,OpenStreetMap amenity=pharmacy,True
node/613552555,node,613552555,Farma Total,,,-25.4933813,-49.3109849,OpenStreetMap amenity=pharmacy,True
node/615786164,node,615786164,Farmácia Santo Antonio,,,-12.7722188,-38.1763355,OpenStreetMap amenity=pharmacy,True
node/615790730,node,615790730,Farmácia Santa Clara,,,-12.6485491,-38.0727607,OpenStreetMap amenity=pharmacy,True
node/617039562,node,617039562,Homeopharma,,,-5.8120671,-35.207404,OpenStreetMap amenity=pharmacy,True
node/617039565,node,617039565,Drogaria Amadeus,,,-5.8123685,-35.206602,OpenStreetMap amenity=pharmacy,True
node/618130869,node,618130869,Drogaria Irmã Dulce,,,-5.8283719,-35.2030548,OpenStreetMap amenity=pharmacy,True
node/619006177,node,619006177,,,,-12.8813909,-38.3111348,OpenStreetMap amenity=pharmacy,True
node/619006199,node,619006199,,,,-12.891423,-38.3257235,OpenStreetMap amenity=pharmacy,True
node/619006493,node,619006493,DPM Bahia,,,-13.0118229,-38.4720392,OpenStreetMap amenity=pharmacy,True
node/619006500,node,619006500,,,,-13.0105609,-38.4667406,OpenStreetMap amenity=pharmacy,True
node/622112492,node,622112492,Drogaria Amadeus,,,-5.8688084,-35.2039722,OpenStreetMap amenity=pharmacy,True
node/622395306,node,622395306,,,,-12.9792834,-38.5098913,OpenStreetMap amenity=pharmacy,True
node/623732998,node,623732998,Pague Menos,,Pague Menos,-3.7306677,-38.5054737,OpenStreetMap amenity=pharmacy,True
node/626795989,node,626795989,Manu,,,-12.9793817,-38.499896,OpenStreetMap amenity=pharmacy,True
node/633042110,node,633042110,,,,-22.7996082,-43.2025423,OpenStreetMap amenity=pharmacy,True
node/633485288,node,633485288,Pacheco,,,-22.9232664,-43.2485307,OpenStreetMap amenity=pharmacy,True
node/634187572,node,634187572,Venâncio,,,-22.9242167,-43.2340216,OpenStreetMap amenity=pharmacy,True
node/634187646,node,634187646,Pacheco,,,-22.9156533,-43.2461504,OpenStreetMap amenity=pharmacy,True
node/635027185,node,635027185,Fundação Medicamentos para a Saúde,,,-29.6943924,-51.4800195,OpenStreetMap amenity=pharmacy,True
node/637403140,node,637403140,Drogaria Nações,,,-22.9061892,-43.180176,OpenStreetMap amenity=pharmacy,True
node/645363672,node,645363672,Mega Farma,,,-9.5468836,-35.722613,OpenStreetMap amenity=pharmacy,True
node/651221129,node,651221129,,,,-22.9332556,-42.4951508,OpenStreetMap amenity=pharmacy,True
node/651754634,node,651754634,Farmácia Fred,,,-12.6424539,-38.0902855,OpenStreetMap amenity=pharmacy,True
node/653088647,node,653088647,,,,-22.0155018,-47.8906124,OpenStreetMap amenity=pharmacy,True
node/668006830,node,668006830,Farmácia Rio Stop Ltda.,,,-22.9071184,-43.1773339,OpenStreetMap amenity=pharmacy,True
node/668990430,node,668990430,Farmacia Minerva,,,-25.4586537,-49.270667,OpenStreetMap amenity=pharmacy,True
node/677594854,node,677594854,Pacheco,,Pacheco,-22.9120765,-43.1766176,OpenStreetMap amenity=pharmacy,True
node/696595476,node,696595476,Farmacia do Tiago,,,-28.2088788,-53.4888551,OpenStreetMap amenity=pharmacy,True
node/704992189,node,704992189,Drogaria Norte e Sul,,,-22.9279288,-43.1758948,OpenStreetMap amenity=pharmacy,True
node/711915769,node,711915769,,,,-19.9750805,-43.9449382,OpenStreetMap amenity=pharmacy,True
node/711921964,node,711921964,Araujo,,,-19.9830918,-43.9468131,OpenStreetMap amenity=pharmacy,True
node/716378635,node,716378635,Redemed,,,-12.7719241,-38.1770262,OpenStreetMap amenity=pharmacy,True
node/722351156,node,722351156,,,,-22.8757415,-43.4480444,OpenStreetMap amenity=pharmacy,True
node/725873013,node,725873013,Drogaria Venâncio,,Venâncio,-22.9336,-43.1764,OpenStreetMap amenity=pharmacy,True
node/728958004,node,728958004,Max,,,-22.9464099,-43.1827815,OpenStreetMap amenity=pharmacy,True
node/740234371,node,740234371,Pague Menos,,Pague Menos,-13.0082709,-38.4640915,OpenStreetMap amenity=pharmacy,True
node/740240648,node,740240648,,,,-12.7022831,-38.1326567,OpenStreetMap amenity=pharmacy,True
node/745723014,node,745723014,Drogaria São Paulo,,Drogaria São Paulo,-23.5599368,-46.6381129,OpenStreetMap amenity=pharmacy,True
node/747463971,node,747463971,Farmácia Forum,,,-30.0441728,-51.2297549,OpenStreetMap amenity=pharmacy,True
node/759907641,node,759907641,Drogaria Catarinense,,,-27.6080083,-48.5787846,OpenStreetMap amenity=pharmacy,True
node/765408596,node,765408596,Drogasil,Drogasil,Drogasil,-16.7135405,-49.2738415,OpenStreetMap amenity=pharmacy,True
node/765408597,node,765408597,,,,-16.7143626,-49.2732192,OpenStreetMap amenity=pharmacy,True
node/766016585,node,766016585,Pacheco,,Pacheco,-22.9057906,-43.1795782,OpenStreetMap amenity=pharmacy,True
node/771839304,node,771839304,Pacheco,,Pacheco,-22.9844842,-43.197639,OpenStreetMap amenity=pharmacy,True
node/771839347,node,771839347,Max,,,-22.9844483,-43.1979091,OpenStreetMap amenity=pharmacy,True
node/796029047,node,796029047,Pague Menos,,Pague Menos,-9.6524924,-35.7330318,OpenStreetMap amenity=pharmacy,True
node/796643721,node,796643721,Preço Popular,,,-29.1660371,-51.1816974,OpenStreetMap amenity=pharmacy,True
node/810362087,node,810362087,Norte sul,,,-22.9311664,-43.1768558,OpenStreetMap amenity=pharmacy,True
node/810378165,node,810378165,Ric,,,-22.9325811,-43.1832414,OpenStreetMap amenity=pharmacy,True
node/813263653,node,813263653,Farmácia Vidal,,,-6.1876221,-35.0920566,OpenStreetMap amenity=pharmacy,True
node/813263692,node,813263692,,,,-6.1874629,-35.0926497,OpenStreetMap amenity=pharmacy,True
node/814322515,node,814322515,Pacheco,,,-22.914466,-43.2401115,OpenStreetMap amenity=pharmacy,True
node/815523494,node,815523494,Pague Menos,,Pague Menos,-22.931505,-43.2394298,OpenStreetMap amenity=pharmacy,True
node/816039934,node,816039934,Drogaria Max,,,-22.9087836,-43.1775359,OpenStreetMap amenity=pharmacy,True
node/819646605,node,819646605,Farmavita,,,-22.915038,-43.2124047,OpenStreetMap amenity=pharmacy,True
node/825329960,node,825329960,Drogaria São Paulo,,Drogaria São Paulo,-22.0124375,-47.8905713,OpenStreetMap amenity=pharmacy,True
node/826479516,node,826479516,Rede Med,,,-12.8872715,-38.300258,OpenStreetMap amenity=pharmacy,True
node/829119435,node,829119435,Droga Raia,,Droga Raia,-22.9045438,-43.2886381,OpenStreetMap amenity=pharmacy,True
node/830673730,node,830673730,Farmácia Rosário,,,-22.0021244,-47.8909648,OpenStreetMap amenity=pharmacy,True
node/834803974,node,834803974,Farmácia Agafarma,,,-29.924263,-51.169648,OpenStreetMap amenity=pharmacy,True
node/835986245,node,835986245,Ephicacea Farmácia de Manipulação,,,-29.9270744,-51.1625245,OpenStreetMap amenity=pharmacy,True
node/837021113,node,837021113,Descontão,,,-22.925685,-43.2325295,OpenStreetMap amenity=pharmacy,True
node/837432709,node,837432709,,,,-29.928508,-51.1763247,OpenStreetMap amenity=pharmacy,True
node/837432712,node,837432712,Farmácia Popular Farma,,,-29.9234496,-51.1731811,OpenStreetMap amenity=pharmacy,True
node/840709498,node,840709498,Drogaria São Paulo,,Drogaria São Paulo,-23.5984324,-46.6442291,OpenStreetMap amenity=pharmacy,True
node/842545672,node,842545672,Drogaria América do Sul,,,-23.6339956,-46.5026742,OpenStreetMap amenity=pharmacy,True
node/847767621,node,847767621,Droga Life,,,-22.9494907,-43.1886594,OpenStreetMap amenity=pharmacy,True
node/847767775,node,847767775,,,,-22.9495947,-43.1868117,OpenStreetMap amenity=pharmacy,True
node/847770783,node,847770783,Cristal,,,-22.9489541,-43.1829492,OpenStreetMap amenity=pharmacy,True
node/849592136,node,849592136,Farmácia Básica Municipal de Canoas,,,-29.9240118,-51.1691888,OpenStreetMap amenity=pharmacy,True
node/853556541,node,853556541,São João,,São João,-30.0309994,-51.2324354,OpenStreetMap amenity=pharmacy,True
node/853556633,node,853556633,Panvel,,Panvel,-30.0316022,-51.2342804,OpenStreetMap amenity=pharmacy,True
node/853556677,node,853556677,Farmacias Associadas,,,-30.030839,-51.2328129,OpenStreetMap amenity=pharmacy,True
node/853556680,node,853556680,Drogabel,,,-30.0315341,-51.2346791,OpenStreetMap amenity=pharmacy,True
node/853664499,node,853664499,Droga Raia,,Droga Raia,-30.0300319,-51.2296958,OpenStreetMap amenity=pharmacy,True
node/853664848,node,853664848,Panvel,,Panvel,-30.0298363,-51.2296625,OpenStreetMap amenity=pharmacy,True
node/853665190,node,853665190,PrecoPopular,,,-30.0298341,-51.2294273,OpenStreetMap amenity=pharmacy,True
node/853665238,node,853665238,,,,-30.0296576,-51.2276907,OpenStreetMap amenity=pharmacy,True
node/857182866,node,857182866,Farmácias Capilé,,,-30.0281449,-51.2294988,OpenStreetMap amenity=pharmacy,True
node/860698547,node,860698547,Maxifarma,,,-25.3850696,-49.2153112,OpenStreetMap amenity=pharmacy,True
node/869823172,node,869823172,Panvel,,Panvel,-27.5783684,-48.5102654,OpenStreetMap amenity=pharmacy,True
node/880665463,node,880665463,Max,,,-22.9508276,-43.1677529,OpenStreetMap amenity=pharmacy,True
node/881707291,node,881707291,Big Ben,,,-2.4308374,-54.7206812,OpenStreetMap amenity=pharmacy,True
node/881707292,node,881707292,Primavera Aparecida,,,-2.4293413,-54.720931,OpenStreetMap amenity=pharmacy,True
node/884742670,node,884742670,Drogasil,,,-23.5392935,-46.6752459,OpenStreetMap amenity=pharmacy,True
node/887088360,node,887088360,Primavera Rodagem,,,-2.4306712,-54.7253834,OpenStreetMap amenity=pharmacy,True
node/887088394,node,887088394,Primavera Santíssimo,,,-2.4253608,-54.7045604,OpenStreetMap amenity=pharmacy,True
node/892159597,node,892159597,Drogasmil,,,-22.9679675,-43.1831834,OpenStreetMap amenity=pharmacy,True
node/892159665,node,892159665,Droga Life,,,-22.9666833,-43.1823572,OpenStreetMap amenity=pharmacy,True
node/892159681,node,892159681,Droga Raia,,Droga Raia,-22.967434,-43.1823143,OpenStreetMap amenity=pharmacy,True
node/893033392,node,893033392,,,,-22.980555,-43.6657851,OpenStreetMap amenity=pharmacy,True
node/898928145,node,898928145,Multimais,,,-12.9855821,-38.4611895,OpenStreetMap amenity=pharmacy,True
node/899637153,node,899637153,Estefânia,,,-22.8082502,-42.986422,OpenStreetMap amenity=pharmacy,True
node/906226569,node,906226569,Redemed,,,-12.5912381,-38.0450483,OpenStreetMap amenity=pharmacy,True
node/908806714,node,908806714,Angeloni,,,-27.5914514,-48.5131761,OpenStreetMap amenity=pharmacy,True
node/913840115,node,913840115,Droga Raia,,Droga Raia,-23.5435637,-46.6942795,OpenStreetMap amenity=pharmacy,True
node/919687849,node,919687849,ForteFarma,,,-25.4437315,-49.0623054,OpenStreetMap amenity=pharmacy,True
node/927184016,node,927184016,,,,-12.9139343,-38.3517114,OpenStreetMap amenity=pharmacy,True
node/928533313,node,928533313,Farmácia Permanente,,,-9.6644063,-35.711092,OpenStreetMap amenity=pharmacy,True
node/937596050,node,937596050,Drogaria Hiper Econômica,,,-13.0100441,-38.5094619,OpenStreetMap amenity=pharmacy,True
node/939142114,node,939142114,,,,-22.9255826,-43.1768028,OpenStreetMap amenity=pharmacy,True
node/942926091,node,942926091,Farmácia João Paulo II,,,-7.2204467,-36.6319359,OpenStreetMap amenity=pharmacy,True
node/948442606,node,948442606,FarmaTotal,,,-25.5183167,-49.1640128,OpenStreetMap amenity=pharmacy,True
node/948442840,node,948442840,Farmácia FarmaForte,,,-25.5086347,-49.1848425,OpenStreetMap amenity=pharmacy,True
node/948442870,node,948442870,GloboFarma,,,-25.531997,-49.1519608,OpenStreetMap amenity=pharmacy,True
node/948442877,node,948442877,NuzaFarma,,,-25.5175711,-49.1649957,OpenStreetMap amenity=pharmacy,True
node/948442906,node,948442906,Farmácia Independência,,,-25.5013953,-49.1779509,OpenStreetMap amenity=pharmacy,True
node/955597175,node,955597175,Drogasil,,Drogasil,-18.9163148,-48.2705869,OpenStreetMap amenity=pharmacy,True
node/964300360,node,964300360,Pague Menos,,Pague Menos,-2.5400845,-44.2078307,OpenStreetMap amenity=pharmacy,True
node/964808296,node,964808296,Venâncio,,Santander,-22.9115679,-43.1750385,OpenStreetMap amenity=pharmacy,True
node/965969280,node,965969280,Extrafarma,,Extrafarma,-2.5403412,-44.2091758,OpenStreetMap amenity=pharmacy,True
node/966269223,node,966269223,Farmácia Morifarma,,,-25.4768439,-49.336365,OpenStreetMap amenity=pharmacy,True
node/973656274,node,973656274,Nissei,,,-25.5362468,-49.2053582,OpenStreetMap amenity=pharmacy,True
node/979976380,node,979976380,Companhia das Ervas,,,-22.8104486,-47.0769043,OpenStreetMap amenity=pharmacy,True
node/981419247,node,981419247,São João,,São João,-29.9903158,-50.1389015,OpenStreetMap amenity=pharmacy,True
node/981696121,node,981696121,Extrafarma,,,-2.549339,-44.2149604,OpenStreetMap amenity=pharmacy,True
node/981696127,node,981696127,Extrafarma,,Extrafarma,-2.546325,-44.2175482,OpenStreetMap amenity=pharmacy,True
node/982314296,node,982314296,Farmácias Associadas,,,-29.5398695,-51.0819925,OpenStreetMap amenity=pharmacy,True
node/988314313,node,988314313,Dourada,,,-3.6263549,-38.7286571,OpenStreetMap amenity=pharmacy,True
